country,city,state,name,address,joined,type_of_office,price,time_period
brazil,sao-paulo,,pixels-coworking,"Avenida Jurema 326, Moema, Sao Paulo, Brazil",October 2016,Membership: Private Office,BRL 6299.00,1 Month
brazil,sao-paulo,,pixels-coworking,"Avenida Jurema 326, Moema, Sao Paulo, Brazil",October 2016,Membership: Hot Desk / Open Plan,BRL 79.00,1 Day
brazil,sao-paulo,,pixels-coworking,"Avenida Jurema 326, Moema, Sao Paulo, Brazil",October 2016,Membership: Hot Desk / Open Plan,BRL 349.00,1 Week
brazil,sao-paulo,,pixels-coworking,"Avenida Jurema 326, Moema, Sao Paulo, Brazil",October 2016,Membership: Hot Desk / Open Plan,BRL 799.00,1 Month
brazil,curitiba,,plus-coworking,"Avenida Winston Churchill, 936 - Bloco E, Sala 12 - Capão Raso, (Centro Comercial Claudino), Curitiba, Brazil",August 2017,Membership: Dedicated Desk,BRL 290.00,1 Month
brazil,curitiba,,plus-coworking,"Avenida Winston Churchill, 936 - Bloco E, Sala 12 - Capão Raso, (Centro Comercial Claudino), Curitiba, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 10.00,1 Hour
brazil,curitiba,,plus-coworking,"Avenida Winston Churchill, 936 - Bloco E, Sala 12 - Capão Raso, (Centro Comercial Claudino), Curitiba, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 50.00,1 Day
brazil,curitiba,,plus-coworking,"Avenida Winston Churchill, 936 - Bloco E, Sala 12 - Capão Raso, (Centro Comercial Claudino), Curitiba, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 150.00,1 Week
brazil,joinville,,bonjour-coworking,"Joinville - SC, Brasil, Rua João Theis, 99, Joinville, Brazil",February 2018,Membership: Dedicated Desk,BRL 590.00,1 Month
brazil,joinville,,bonjour-coworking,"Joinville - SC, Brasil, Rua João Theis, 99, Joinville, Brazil",February 2018,Membership: Hot Desk / Open Plan,BRL 10.00,1 Hour
brazil,joinville,,bonjour-coworking,"Joinville - SC, Brasil, Rua João Theis, 99, Joinville, Brazil",February 2018,Membership: Hot Desk / Open Plan,BRL 390.00,1 Month
brazil,uberlandia,,uberlandia,"AV. SEGISMUNDO PEREIRA, 145, Uberlandia, Brazil",July 2016,Membership: Hot Desk / Open Plan,BRL 100.00,1 Day
brazil,uberlandia,,uberlandia,"AV. SEGISMUNDO PEREIRA, 145, Uberlandia, Brazil",July 2016,Membership: Hot Desk / Open Plan,BRL 575.00,1 Month
brazil,sao-paulo,,colab-coworking,"R Fradique Coutinho, 160, Sao Paulo, Brazil",June 2016,Membership: Hot Desk / Open Plan,BRL 60.00,1 Day
brazil,sao-paulo,,colab-coworking,"R Fradique Coutinho, 160, Sao Paulo, Brazil",June 2016,Membership: Hot Desk / Open Plan,BRL 650.00,1 Month
brazil,sao-paulo,,blocktime-coworking,"Rua Galeno de Almeida, 188, Sao Paulo, Brazil",June 2016,Membership: Private Office,BRL 4750.00,1 Month
brazil,sao-paulo,,blocktime-coworking,"Rua Galeno de Almeida, 188, Sao Paulo, Brazil",June 2016,Membership: Private Office,BRL 3200.00,1 Month
